Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,0.4040105033969683,1.0318695542464376,1.0341854579918024,1.1622856404401425,1.1163667703937237,1.005444062401499
/Dimetrodon,0.0829553697627109,1.1141124927046329,1.0270598575085301,1.3741723005668822,1.8667354625832446,1.0070132568897763
/DogDance,0.20137150064822593,1.0937333537333198,1.0614020160727977,1.2840894856674199,1.361852684360994,1.0151577288488527
/Grove2,0.07445454470590229,1.741399633792834,1.1527813339198585,1.539223207871683,3.6035483776737043,1.0477981747878284
/Grove3,0.1250483387294912,1.5723604652308314,1.2027743975344873,1.4777002168268756,3.069705060560303,1.0631199263619406
/Hydrangea,0.08509269116307146,1.3314012604346666,1.1045614503073857,1.4227137952435667,3.1377797298600147,1.0103406629512761
/MiniCooper,0.13057049370244503,1.0747459616109687,1.0512919079828016,1.405121453530741,1.1390228003899745,1.0182289540523948
/RubberWhale,0.10954628891006737,1.0585059205147367,1.0169220241432182,1.292578510240567,1.5169050387114733,1.0026235248855124
/Urban2,0.3012863181979378,1.2609737594176764,1.1339336332342134,1.2137854639385148,2.007482466779644,1.0282438376668712
/Urban3,0.15787720393766147,1.3175090474851427,1.1664040949851937,1.3263136058673888,2.3543238961338093,1.0492700935572281
/Venus,0.06931918241668963,1.3615937305816854,1.103105051375707,1.517038139737472,2.7257694864407758,1.025491874751347
/Walking,0.2924493985209035,1.0357047500024577,1.0182642243190418,1.1890573435630014,1.326317193699015,1.0041196236404522
