Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,98.64487955729167,0.9162638969339022,0.9483762447638774,28.1900581398,0.6025833624751339,0.9954161219052463
/Dimetrodon,6.957703714164666,0.9610038797795224,0.9960043932535256,39.7061443,0.6526376683469329,0.998857246376518
/DogDance,46.466405164930556,0.9326766521580808,0.9804962543805052,31.4594128592,0.5689676063293654,0.994559243648241
/Grove2,39.16261935763889,0.93176895196757,0.9902107541423678,32.2020862936,0.5945572781895084,0.9964768581840314
/Grove3,104.71636284722223,0.8977923959339504,0.978179897130506,27.9306581158,0.508523850742474,0.9909943646815069
/Hydrangea,16.272498587770087,0.980810231771037,0.9953221862304653,36.0162611834,0.6900556818119857,0.9989004526841874
/MiniCooper,55.78035047743055,0.9713392663119063,0.992861939524816,30.6659912218,0.751965579318525,0.996750043290334
/RubberWhale,3.716484547851057,0.9878974406544766,0.9981552076041078,42.4294802941,0.8325949828013145,0.9994366535407747
/Urban2,71.60459526909722,0.8303155088183587,0.9213755436544078,29.5813946655,0.5252146040026303,0.9894503854327151
/Urban3,35.860826822916664,0.891807946711649,0.9679495220485109,32.5846006224,0.5671731105198897,0.9904496366665853
/Venus,25.824753550543026,0.9320759155554897,0.9902971596638434,34.0104417519,0.5647994930117551,0.9962683720642546
/Walking,28.500966796875,0.959152809986672,0.9915202515320447,33.5822076867,0.6141197751147894,0.9981904846294011
