Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,0.18328031125641286,1.0433305899992156,1.0674968852344395,1.3038198446138842,0.9482816445357828,1.0075860497469984
/Dimetrodon,0.052612329082398566,1.1293374534792509,1.0282621719501222,1.4426131333052492,2.0422400141119414,1.0075155704673395
/DogDance,0.21454078340276833,1.0841162814735963,1.0634641182800393,1.2728598785848604,1.2227977408460153,1.0150742942769118
/Grove2,0.15485180982931593,1.6627145685991627,1.1428615423374873,1.3872108292185208,2.8371967151255464,1.0440148117830017
/Grove3,0.14753299189351513,1.5641165874416874,1.2031121530832207,1.4397077499929376,2.7261738206321837,1.0624371941750084
/Hydrangea,0.06674180371439138,1.3399100228780343,1.1059399986451697,1.464386145140258,3.347383459495981,1.010518766454118
/MiniCooper,0.22072920732826218,1.0459433419439617,1.0491328225020728,1.3006446651943535,0.8264722313676792,1.0149014353680974
/RubberWhale,0.07908018437280037,1.0628014591776132,1.0176022726444633,1.3356944359207839,1.5853883004216924,1.0026675843863049
/Urban2,0.07619400842829076,1.4382751262905833,1.2179859793968217,1.458770882710517,2.316118856119951,1.036192902453391
/Urban3,0.12970377501605448,1.3650859752595395,1.185528648933535,1.3610610507678775,2.3919848174656524,1.0519850833933226
/Venus,0.060329827082588015,1.3739526067388061,1.104383320126058,1.5439445207746452,2.839594084040455,1.0259093253185643
/Walking,0.31749168882384643,1.0359732970090996,1.0185782454983334,1.1764234206291246,1.2183194767837524,1.0041611721511268
