Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,72.65294162326389,0.8789624204448612,0.9619119353091886,29.5182715786,0.4173970160102365,0.9927528588211872
/Dimetrodon,28.86273125264793,0.9317230946342959,0.9881747570628593,33.5274293529,0.5013450608684304,0.9965240093546678
/DogDance,111.09494791666667,0.8718871531734859,0.9635166626091519,27.6738605118,0.39848391082404183,0.9900899797041175
/Grove2,133.81037109375,0.8613182919213953,0.970145279243469,26.8659058575,0.4101286414592957,0.9886138774746875
/Grove3,182.77810763888888,0.8671788193290461,0.9675959177525859,25.5115618425,0.38982047422531346,0.9857715666762145
/Hydrangea,40.01119486419056,0.9251423703439006,0.9820507148751957,32.1089883985,0.4978640972043797,0.9971181295163037
/MiniCooper,176.14872938368055,0.9037383967224978,0.9775523285583217,25.6720084604,0.4401071280244902,0.9879721381032477
/RubberWhale,25.676747928729466,0.9485152510765321,0.9871446360142427,34.0354034326,0.603637377647816,0.9974530614587591
/Urban2,36.996013454861114,0.9299647005095921,0.9820444732246567,32.4492543215,0.5645906570640217,0.9942463015005619
/Urban3,36.608745659722224,0.9216320112037074,0.9808682523580696,32.4949551214,0.5401214652818439,0.989310345024368
/Venus,155.56845864661653,0.8347932496575687,0.962355436899168,26.2115881207,0.39100414072814466,0.9894772031101168
/Walking,41.706685112847225,0.9530340231017264,0.9889631880351335,31.9287468779,0.5197797370818479,0.9970337535398061
