Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,0.29755778151097856,0.9898617243556377,1.0489458596816648,1.217048330169303,0.7732841424982981,1.0027539692881235
/Dimetrodon,0.3441248207437675,1.0801666479344938,1.0189860928898207,1.160335901110605,1.4339941586340594,1.004660968190873
/DogDance,0.48145227281967423,1.0224465873686353,1.0430213513250326,1.12957331626223,0.9537913540129427,1.0105959012210688
/Grove2,0.2543954010259451,1.6097331371298906,1.1294215543750261,1.2841598342210023,2.4857460412705525,1.0395302288059651
/Grove3,0.2182667359227276,1.518744977094743,1.1897602889261023,1.3497154384962018,2.3531519331734545,1.0575170078906795
/Hydrangea,0.2092278717543031,1.2558348985952708,1.08983339958101,1.2683687657983922,2.2638577054113673,1.0085379271869723
/MiniCooper,0.41232846986129246,0.9999484484120358,1.0350813257429956,1.1762962293319732,0.6666422868561934,1.0092618942789
/RubberWhale,0.7568422283628174,1.016308948323503,1.0057044372761261,1.036860002983922,1.0997671120089614,1.0006336077875557
/Urban2,0.15566588484897115,1.4123078180198696,1.2085986709659144,1.3314596440246982,2.1579861571365333,1.0332277875599973
/Urban3,0.16116991481993573,1.361569514703397,1.1819714976150217,1.3226647028454082,2.2420330741036767,1.0480631420841158
/Venus,0.4175791394137542,1.2194814135801888,1.0719803983106455,1.169169726528769,1.8870186128984177,1.0185015006937004
/Walking,0.42795372741145915,1.0290976102693437,1.0156381899297355,1.130512660159834,1.1225705964266484,1.0029560216985156
