Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,0.6292498255623613,0.9494296440107964,1.0008360910291314,1.0829459153461567,0.6914129823863161,1.0012752328068255
/Dimetrodon,0.46780349170672564,1.0161228684936348,0.9961715529325003,1.114186271034409,1.1541167596792503,1.0046305311553985
/DogDance,0.4120861189877577,1.0018493435769624,1.0388477492606178,1.1571516549496592,0.902585523755688,1.0091752919072394
/Grove2,0.26123114227699096,1.528862790748477,1.1244611647142082,1.2786554632626603,2.1675430710952406,1.0382066697190588
/Grove3,0.2431028341913276,1.43438555065319,1.1782186760245517,1.3249541109329397,2.0723588115804037,1.0550384124567864
/Hydrangea,0.3994465709649856,1.2105824253359654,1.0808784761489303,1.1574317240747598,1.892824873202966,1.00659695537166
/MiniCooper,0.424640931574741,0.9640389521979472,1.0314719786959234,1.1704410822702955,0.61734848706354,1.0055576653092195
/RubberWhale,0.7451177548772803,0.9762432320795345,1.0031089596924838,1.0389256082615776,1.0032133245808037,0.995864386283463
/Urban2,1.8411688024264237,1.2357277157795759,1.150738891756796,0.8912266406314678,1.6522318091743302,0.9556472140564505
/Urban3,0.6611505129709851,1.2653656756793294,1.1581859758849755,1.073144399653977,1.805196473510824,1.0241512238864656
/Venus,0.30710045138029773,1.2048419411134268,1.080467366147087,1.228698912752034,1.719519762131656,1.0170231211197422
/Walking,0.4468488498316888,1.0137404505464385,1.0137871761090402,1.1238688828026315,1.0481881314438377,1.002542714005975
