Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,153.6402463107639,0.8430601541695824,0.9177939665458817,26.2657536613,0.37320526804857074,0.9912888707301764
/Dimetrodon,39.236014510662336,0.876480629513921,0.966050066022288,32.1939547439,0.40349588151866733,0.9964938188350952
/DogDance,95.08873155381944,0.8543229376197329,0.9596611949075032,28.3495130675,0.3770906580837512,0.9886981958615378
/Grove2,137.405927734375,0.8180470769568305,0.9658844267796487,26.7507489214,0.3576276418802686,0.9873551465164966
/Grove3,203.57603190104166,0.8190109511720093,0.9582094744229795,25.0435371601,0.34330460490318554,0.9834611273302801
/Hydrangea,76.3872157887304,0.8918059975278031,0.9739814182638903,29.3005968,0.4162671286320756,0.995199135561038
/MiniCooper,181.40867296006945,0.8712839331077289,0.9741435861506585,25.5442231448,0.40756410895129597,0.9843460475553489
/RubberWhale,25.278981605705408,0.9111221503216895,0.9845970567457979,34.1032078698,0.5506411801723065,0.9926989990796727
/Urban2,437.5776095920139,0.8136917040702722,0.9350306234171748,21.7202526939,0.4322709113211392,0.9195926779696375
/Urban3,150.1762348090278,0.8565126495495331,0.9611296519113994,26.3647914929,0.4348844696611269,0.9667388919387551
/Venus,114.40979532163743,0.8247718318174049,0.9699744937896289,27.5461715221,0.35629714644131355,0.9880409530064314
/Walking,43.548129340277775,0.9388119555659701,0.9871607897525929,31.7411085674,0.4853386977250938,0.9966228863520676
