Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,186.59469943576389,0.8750891629175657,0.9237033408331067,25.4218105821,0.48273223767044343,0.992095241072889
/Dimetrodon,176.40386539095232,0.8002095852218561,0.9189151396880109,25.6657226363,0.24922494596954622,0.9836688011999627
/DogDance,390.16810546875,0.7264866306890295,0.8591920460298179,22.2182859603,0.2788517659104624,0.9633467287295527
/Grove2,716.9557313368056,0.4549611677179814,0.7470153179367222,19.5758802003,0.10626207943869537,0.930864980287612
/Grove3,979.7903428819444,0.48356973746089754,0.7245065962456347,18.2194720627,0.11808749330566382,0.9190379439511088
/Hydrangea,387.39510956550396,0.6460052836594821,0.8115677667338078,22.2492622694,0.13477236744136722,0.9812150896246986
/MiniCooper,420.7875737847222,0.8831674747483493,0.9367332762275771,21.8901745462,0.5783500532854292,0.9772358357442036
/RubberWhale,84.48209115944076,0.8065049384182469,0.922272124558257,28.8631570559,0.3813194495508851,0.9910260277178873
/Urban2,153.8805805121528,0.660353498308328,0.8331003793243639,26.2589654486,0.2190215052893871,0.967057146929018
/Urban3,209.757861328125,0.6730260631445105,0.845345338842921,24.9136211453,0.22269407627495838,0.9528629933939835
/Venus,272.8460087719298,0.7215031299289656,0.9034366575383335,23.7716275562,0.21908069111819659,0.9790481541638
/Walking,285.4405588107639,0.859209706306023,0.9286772497173832,23.5756467795,0.3199958729408112,0.9830533956382173
