Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,0.004611229853850153,1.0005932299336255,1.0006940558717734,1.4461954416066376,1.0057323605295654,1.0000430549417503
2,0.021106521864710296,1.0005487419293817,1.0006663835227112,1.320025259001522,1.0044037584133008,1.000042479245326
3,0.054228525215181095,1.0004790100814567,1.0006159175420144,1.241754063441045,1.0033109145631716,1.0000412416380065
4,0.11869692680954305,1.0003808873293596,1.0005363914544356,1.176775897601285,1.0023667317169787,1.000038799067134
5,0.24088657501010916,1.0002809662902854,1.0004131252614854,1.1180696779022732,1.00165001460953,1.0000334565793356
6,0.3946818496909479,1.0001904292063533,1.000296051839073,1.077114105085294,1.0010631937069665,1.0000266350310376
7,0.6712119461614002,1.0000859806044988,1.0001379368450332,1.033068648781006,1.0004580811426655,1.0000141463167715
9,1.0011607569455305,0.9996206952323387,0.9995970196859938,0.9998925507273642,0.9893869952124225,0.999994115307125
10,1.0728514901487471,0.9990411791667585,0.998814140230822,0.9931461209311878,0.9874225232360506,0.9999661667639348
11,1.0123779178858137,0.9986879372838551,0.9984580888445157,0.9987454384346455,0.9887065938209428,0.9999471086046892
12,0.855156389428526,0.9986551209139515,0.9991654173637047,1.0165480357232268,0.9916293041813423,0.999975329520417
13,0.5385605866754546,1.0011434714188285,1.0018754219833623,1.0688753010314058,1.0035841781362342,1.0005777783632333
14,0.6386305972188354,1.000684559011659,1.0010091982086138,1.0482147844836844,1.002289299109505,1.0003481211921645
15,0.7694956569357035,1.0003085451798934,1.0003193954902032,1.026721112318304,1.0013736990290525,1.0001371170203286
17,0.6929027746531903,1.0004928814861804,1.000494759343312,1.037550425156292,1.0084984380003676,1.0002014349627286
18,0.6094928444877998,1.0005661494754612,1.0013476164079442,1.0539811811045074,1.0087603265033478,1.000388149884212
19,0.5294665723245479,1.000778433966702,1.002450457621381,1.0718403319728564,1.0104478034389568,1.000586976043001
20,0.47818220659358446,1.0009277902462757,1.0038485344223271,1.085696879601252,1.0139682727491401,1.0008023748818615
21,0.5120025196940435,1.0022386406752133,1.0028732444731048,1.077138175960509,1.0144939778828101,1.00079280606134
22,0.5565701674096318,1.0021378115014146,1.001899464571284,1.0655993421442485,1.0170870210496026,1.0005996683082101
23,0.6153831474796313,1.0012441093857034,1.0007330714685927,1.0504698240508612,1.0196052745395447,1.0002397823789921
25,0.5996562965857752,1.0013915726858091,1.0008708511549167,1.0530813017190959,1.0321719995225338,1.0003388541279743
26,0.5824839589644846,1.0020510216154175,1.0021017417548528,1.0606616038669783,1.036646958105337,1.0006427656970773
27,0.541311717138092,1.0024426918001434,1.0033787411954762,1.0715325795661943,1.0395178064585764,1.0008641972185224
28,0.48584765367851285,1.003062878559995,1.0049162452606775,1.0861115952092744,1.0456324543630917,1.0010994217680755
29,0.49378530094557993,1.0038816266693893,1.0036452380602534,1.0828751704938877,1.0313527960041458,1.0011308626649245
30,0.5229048930811988,1.0032568955648948,1.0022666956434443,1.07314451625539,1.0344213700550424,1.000796826458671
31,0.5654366835129504,1.0015735584326233,1.0007990753543088,1.0587191066099055,1.032990874661192,1.0003160625336636
33,0.45128858162465824,1.0020207759657307,1.001100440925126,1.0819604232621576,1.0607814370303146,1.00052680299116
34,0.40999996855597914,1.0042597760958396,1.0029733102749676,1.1006972239501693,1.0760098384917167,1.001138050088717
35,0.3860953461686021,1.00536473996137,1.0047328283328358,1.1121232219486321,1.0845481935394679,1.0015389405828226
36,0.3526189461230259,1.0064544459404947,1.0065857299524705,1.1259437249227926,1.0995564278057703,1.0018627747267066
37,0.36331499091768854,1.0063022114195226,1.0051087238287926,1.1200321894758254,1.0732823354252274,1.0017229516449797
38,0.3873432843647041,1.0047255166027822,1.003088115120526,1.1072234623197657,1.0708278269215674,1.0012192031895881
39,0.44490979832207117,1.001972943858572,1.001018161326937,1.0830912579283745,1.0557391880978322,1.0005106839082905
41,0.3712464990191785,1.0022602737096105,1.0011959340053673,1.1017692715194398,1.0840085852280645,1.0005836885088764
42,0.30703672046548347,1.0054226997858964,1.0035319977343597,1.1334679152246152,1.114149886706901,1.0013601168747364
43,0.2837272858007588,1.0076524380577567,1.0059154330591864,1.1495216675084785,1.1300384866491167,1.0019510795189752
44,0.25964994634390864,1.0094145685079197,1.0083630126679308,1.1648698772230601,1.1524555946973092,1.0024378232741036
45,0.2859186212826954,1.0081943090221808,1.0060502582870507,1.149120750667262,1.115507224574655,1.001970545052627
46,0.32044009972278814,1.0055722277274213,1.0034453633607443,1.1288724647997759,1.1048729455111,1.001300052552015
47,0.39757120155348713,1.0021765572749837,1.001102005807268,1.094654852598339,1.0771749652978968,1.0005007734331581
49,0.39744126630730586,1.0021033055693063,1.0011139158654179,1.0945708334845543,1.0943655724136505,1.0005292472742129
50,0.3128260014543359,1.0055136751827076,1.0034563450054348,1.131481110043651,1.1436790122705582,1.001379389990405
51,0.27197818880431274,1.0083153907631661,1.0060591058687136,1.1548872627429676,1.1714181015355682,1.002087600128172
52,0.23421122512905654,1.0107721327099364,1.0089182044234515,1.1781566353524593,1.205276983997709,1.002702258641052
53,0.2801226041397843,1.0079491471980078,1.005778052984118,1.1508634243788023,1.1431256426854361,1.0019888339479273
54,0.3348393524897416,1.0051339665436487,1.003162812515461,1.1231953110287156,1.122056927002888,1.0012564120517988
55,0.44475065646876727,1.001842106481566,1.00095628941094,1.0825960899027627,1.0796596419762587,1.0004426828340354
57,0.41603323821313865,1.0019715305051735,1.001060439448874,1.0894618337997528,1.0970522091795498,1.0004672883302885
58,0.3154039622154901,1.0053580031297797,1.0033550762227263,1.1300513314479046,1.156297021656237,1.0012920701937968
59,0.2679415227080207,1.008189666467355,1.0058368701489526,1.1562652949108685,1.1925087869600128,1.0020312380083425
60,0.22553155965085972,1.0108542168762797,1.008561341104595,1.1827824116801626,1.236164175232689,1.0027055215729659
61,0.2797014300136139,1.0082623162656177,1.0058395413314367,1.1514301849466018,1.1692360581801164,1.0019350001505039
62,0.353363287842834,1.0051314439739478,1.003148519974517,1.117575323219561,1.138107630924619,1.0011630431602734
63,0.4887147806958813,1.0017216283507229,1.0008981988701242,1.073386764933097,1.0825794481574749,1.000377286695686
65,0.4681134934506999,1.0019176421080773,1.0010103924381344,1.0779009066005876,1.0987635065235601,1.0003980535753243
66,0.34433684908161005,1.0054368381746719,1.0033674169084874,1.120696124676193,1.1665702180640685,1.0011862677109198
67,0.2811307992847265,1.0085959095902897,1.0060861735497677,1.1511417549431362,1.208691888417699,1.0019497532895847
68,0.23321069069562075,1.011659774084852,1.0090556930191805,1.1795481907490841,1.2610473544495404,1.0026741748420966
69,0.29340385985521783,1.0091805841512127,1.006390565276252,1.1467896986386141,1.1899782739461056,1.0019389907916256
70,0.3750143392481209,1.00578924279368,1.0035563849092302,1.1118537174216094,1.1525402956712079,1.0011521889331163
71,0.525255719774622,1.0019504292759118,1.0010542039243349,1.0668182958203782,1.0871404717478599,1.0003719949513905
73,0.5384584044993785,1.0018988972765834,1.0010303997431784,1.064353472910822,1.098352534934397,1.0003758458269305
74,0.38806693661920727,1.0056979453570671,1.0035839586903568,1.108445494009686,1.1762308315398224,1.0011764648400945
75,0.3075695078677016,1.0093956090489669,1.006563233861138,1.1422601261116316,1.2252387870180939,1.0020042577835846
76,0.24777615605458536,1.012666825795628,1.0097540967065375,1.174323978218132,1.285487887025459,1.0028343274730729
77,0.30358530635219066,1.0104941423853173,1.007143970057483,1.1453473990959213,1.2173976624842682,1.0020835741919007
78,0.39897304933320155,1.0062820076748968,1.0038716585547414,1.10665071498529,1.168851673955401,1.001193880868606
79,0.5586324210875755,1.0020380227572923,1.001163534389004,1.0614949480912614,1.0914547915049477,1.0003674986106215
81,0.5688076592734002,1.0019826209142906,1.0011250343366576,1.0597358437728925,1.1006622402369548,1.0003618329642119
82,0.41102779218152313,1.0059555582901865,1.003705705263565,1.1036760940504913,1.1873530486161683,1.0011715487409836
