Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,346.2277834338687,0.9530797290453511,0.9749721165738959,0.4584302236163275,1.2396956161724455,0.928279521270165
3,346.2277834338687,0.9530797290453511,0.9749721165738959,0.4584302236163275,1.2396956161724455,0.928279521270165
5,346.2277834338687,0.9530797290453511,0.9749721165738959,0.4584302236163275,1.2396956161724455,0.928279521270165
7,183.39222188310728,0.978930011423155,0.9834013750980357,0.5172886987561882,1.189292630060498,0.9757035348824818
9,345.9686468542011,0.976921197836349,0.9957324879940538,0.4584995731439798,0.8672047246032943,0.9617748374908058
11,197.1836201271722,0.9757229699979975,0.995662991558326,0.47915797365217133,0.8772657167486942,0.9586210511346284
13,93.96261515481876,0.9860761721847694,0.9982618886310274,0.548329268611785,0.8488967074693301,0.9775477875414309
15,53.63817062381505,0.9898127093859354,0.9990725764283217,0.5969928435276645,0.8423237919103014,0.9841739221745285
17,48.38589204245418,0.9905794857019943,0.9993332778796864,0.6029447134599254,0.8672362914024864,0.9841651189674718
19,38.240883616691505,0.9918837657542596,0.9996674234312581,0.6240785089387499,0.8647880491733644,0.9865470804090385
21,48.440161037909654,0.9894158691534222,0.9991024006186385,0.5967361122122641,0.8874386654584888,0.9818057487880015
23,30.313428427315433,0.9928891507157092,0.9998102735871542,0.6452354735240268,0.8848783218355822,0.9886225854753954
25,31.141721789093783,0.9926044498126715,0.9995757382799756,0.6430912824071253,0.8892997960954367,0.9885113519412007
27,31.457887669790324,0.9925869828432965,0.9997441583664924,0.6429026247128352,0.8899439919692048,0.988624570276984
29,25.18903292179718,0.9936567216649601,0.999936865760484,0.6659590653305516,0.8737684271724317,0.9908185475012214
31,32.64962961636647,0.9922940597508509,0.9995327831465209,0.6404279004394623,0.8898764817348139,0.9885244538299512
33,33.109312935850475,0.9922845066830092,0.9995336124046676,0.6394810426655856,0.8908024379796897,0.9885060641818576
35,22.137838708753044,0.9940138772330793,0.9998857469480208,0.6808932443692661,0.8753812149475118,0.9923483885981935
37,27.36107202821024,0.992950597264503,0.9996216227925723,0.6600465770597516,0.867384992146356,0.9906229394782441
39,17.956879741211022,0.994638543559052,0.9999482727374597,0.7030519265362247,0.8653879807191337,0.9939756506014248
41,23.00852521409264,0.9935400277939107,0.999741149431024,0.6779309579625666,0.8646240929413821,0.9922370043448745
43,27.56979997330217,0.9925869681001193,0.9995670083843924,0.6595364370133596,0.8596629836856472,0.9905337706744146
45,28.00512077380198,0.9923888395875785,0.9994824100744807,0.6582076869050606,0.8593380118673737,0.9904349987297303
47,34.13737556846714,0.9912503297951805,0.9992205775919716,0.6381222730990456,0.8615268907351102,0.9884010185178299
49,41.152073356037405,0.9900917493643766,0.9989517365647752,0.619006569089379,0.8713075892666486,0.9861212992130125
51,35.997886351754275,0.9910171543429858,0.9992301024295481,0.6340965581904808,0.8629903569265859,0.9882568071851497
53,43.3594302620643,0.9898184608738906,0.9989111796077758,0.6161163699029641,0.8601132531074149,0.9861648980013112
55,43.45564296112222,0.98964009449518,0.9989315571073613,0.6157719227744939,0.8540953265389979,0.9860813761840788
57,36.86672507997237,0.9906347919532613,0.9991439177837311,0.6320180758945048,0.8540246605252595,0.9880756593189002
59,42.18825419010946,0.9896021740622344,0.9989939290150355,0.6180104563799969,0.8483097869074311,0.986127022947903
61,42.527619461217256,0.989560659564406,0.9989813145468521,0.6168274260552177,0.849087252041222,0.9859442793098031
63,40.71976359162961,0.989698437041496,0.9991397617703993,0.6203993813490569,0.8453265838617678,0.986133327138238
65,40.730075984726675,0.9895988738581644,0.999089336984476,0.6195531730667094,0.8457582858863081,0.9859306831525572
67,39.78906558913526,0.989691573869255,0.9991838532399864,0.6212996851711909,0.8417140637274929,0.9859620773878613
69,37.55441505569639,0.9896745056674981,0.9993011559598238,0.6253529437299943,0.8360294044239639,0.9860588205995413
71,31.723892958097355,0.9906751880645633,0.9995584153048954,0.6418056468362057,0.83732112236065,0.9879379774690823
73,16.519198725075043,0.9933382151482396,1.0002459217104833,0.7084528531520667,0.8194293643523681,0.9935111022879795
75,4.578308085693993,0.9957207463526679,1.000903982553562,0.8409921869808151,0.8022031996574327,0.9982476017369161
77,4.321578291507753,0.9959256924199141,1.0010682551282268,0.8466089508332496,0.8009716293649513,0.9983081062431034
79,0.9542556134685187,0.9969013084850934,1.0012559080656225,1.0049341845724575,0.7944762296024945,0.9996830132755795
81,0.9355538407555445,0.9969477169836296,1.0014086784285772,1.0070530069223573,0.7949880096991544,0.9996763778230923
83,0.867736492964478,0.9969122304481999,1.0013991196901866,1.0150663545380076,0.7924550693012367,0.999703107086828
85,0.8762845726904854,0.996726630564074,1.001464433112661,1.0140879094330988,0.7955237607757035,0.999695040295789
87,0.8369181216554556,0.9973014077381245,1.0016592771337507,1.0190825607377763,0.7953457818379456,0.9997403417225432
89,1.2835486785182357,0.9964529073262846,1.0014363221378646,0.9731801606176372,0.7939773520467948,0.9994926887005393
91,1.3515559564628783,0.9961455334960135,1.001244434284858,0.9677141841045322,0.791668006303374,0.999465211282976
93,0.956403439771773,0.9964219938506929,1.0010231988729137,1.0047625570122827,0.787347589522292,0.9996428868594562
95,1.5253080696157086,0.9952833950367096,1.00031552434932,0.955155819100178,0.7837699854000327,0.9993403982184905
97,1.9468038524177,0.9947544400897328,1.0001916273041953,0.9295843129513052,0.7784450068002569,0.9991855016875614
99,1.6432629279682538,0.9948700070101546,1.0002485452706416,0.9476910347336975,0.7793895544046485,0.9993545165033767
101,1.658507300683961,0.9947809763158613,1.0002116550751756,0.9468281835992337,0.778064580921656,0.9993625921152552
103,1.1936931849620598,0.9950535995125598,1.0001463066253375,0.9814399213110196,0.7768888078027466,0.9995474682477229
105,1.7059884269288808,0.994523931512023,1.0001301063623416,0.9439538155527228,0.7745867521025482,0.9993492535808018
107,1.5895149473621633,0.9935085184938076,1.000092611692498,0.9512401847806267,0.7719098493610073,0.9994155519543695
109,1.1695237066862794,0.994780655750637,1.0001756742887213,0.9835327604518316,0.7669511742464392,0.9995939697785801
111,1.1399080041438014,0.9948362618304496,1.0001196666370236,0.9862027121202227,0.7674417174184963,0.9996066134044786
113,1.128085325039729,0.9948056849529663,1.0001710269721487,0.9872817541435891,0.7663708084765607,0.999615379230122
115,1.152150856882354,0.994433332873543,0.9998974349010309,0.9850633600518484,0.7633799450951567,0.9995589367901593
117,1.1905224600313187,0.9941101152406678,0.9997231810335165,0.9816757569558745,0.7595744772424672,0.9995309270274371
119,1.1895109733862137,0.9941076908722152,0.9997182413094109,0.9817750361556599,0.7605230383176801,0.999514898375349
121,1.21670388004297,0.9938600918583359,0.9996417711558255,0.9794486300671792,0.7581415590460239,0.9994884553173046
123,1.272967309713079,0.9935579181362497,0.9994395994015125,0.9748337042056437,0.7536655490228181,0.9994367998859055
125,1.3122902610030533,0.9934016318655391,0.9994189223282162,0.9718245352726638,0.7527423382694463,0.9993935091168888
127,1.3371256769195823,0.9933049948490127,0.9993890891812451,0.9699550810235504,0.7563782277831651,0.9993858951703678
129,1.3589647987569002,0.9932055575728521,0.9991967735295386,0.9683527571210762,0.7517763546718724,0.9993740358400005
131,1.428254868137214,0.9928016318800538,0.9990501685006847,0.9633104619759254,0.7514661335779257,0.9993326556300449
133,1.460811664872707,0.9926892286907452,0.9989684190608139,0.96114585481233,0.7471313356360879,0.9993016533502966
135,1.5213475931755174,0.9924839279872365,0.9987267613471912,0.95717880994838,0.7480681544491246,0.9992348029051261
137,1.5871345708534261,0.9923390011228456,0.9986569505173755,0.9530591194919251,0.7469265111982976,0.9992270537157271
139,1.6549093817324834,0.992310404603727,0.9986283534557836,0.9491705517324178,0.7462394861635174,0.9992270623141346
141,1.6778227684028233,0.9922325047855575,0.998545317886473,0.947953674497742,0.7438965097348965,0.9992244039629192
143,1.6855849212125464,0.9921461912566909,0.9985575214640249,0.9475130757425483,0.7459059743496388,0.9992276252188367
145,1.7477197317771016,0.992017960182829,0.9985073071274428,0.9440761206095727,0.7436568960678136,0.9992384791789729
147,1.7705822393928958,0.9918464814309317,0.9984255655776554,0.9427675727413527,0.7421088148425163,0.999214178472222
149,1.8177541586157475,0.991818781992526,0.9984789482447771,0.9403393278628941,0.7417897810690187,0.9992353884629728
151,1.8000010247600664,0.991855947545976,0.9985246183492374,0.9412683578161672,0.7421636288773356,0.999249355050394
153,1.8703326387068335,0.9915640083830426,0.9984507554719984,0.9375618437634534,0.7389719556099296,0.99919243615746
155,1.8946796610897925,0.9916736959381511,0.9984376704238174,0.936389566331673,0.7392001724304588,0.9992380303212524
157,1.9353327472273716,0.9915768694416015,0.9983832548653486,0.9343469972344911,0.736962074049245,0.9992178486795121
159,1.9539161651259909,0.9915730502080027,0.9983676034694058,0.933379783434249,0.7368588361077636,0.9991965973192997
161,1.997087162132423,0.9914009862309415,0.9982456692332485,0.9312210774264108,0.7331090627655058,0.9991615074771244
163,2.039980607998055,0.9914486164586294,0.9982910246128783,0.9292392766926518,0.7317179703213977,0.9991572919850413
165,2.039845608015907,0.9914120850126509,0.9983099704073793,0.9291965497569049,0.7321289498781798,0.9991424468588388
167,2.061214716093853,0.9913168589952315,0.9982280105356024,0.9281493168954905,0.7304187866213512,0.9991552585711223
169,2.083912268516083,0.9913044140325211,0.9982431246371712,0.9270957280555377,0.7290384247991688,0.999155693666252
171,2.108174240781053,0.9912859233203714,0.9982189425272817,0.9260251454064123,0.7302132039955351,0.999156608700299
173,2.154996384910552,0.9912683754108411,0.9981483900736509,0.9239897857459783,0.7301421261623368,0.999079516735294
175,2.234053299995906,0.9909852019372855,0.9981167443662309,0.9206289634066529,0.7281165171096515,0.9990568592050343
177,2.2778370200955083,0.9909465270938872,0.9980940044137206,0.9189152567212352,0.7245614313881309,0.999039528612213
179,2.3138322695951197,0.9908269775516074,0.9980544035245219,0.9175754673501466,0.7239565628187583,0.9990576793679162
181,2.3438773573951193,0.9908470794656489,0.9980643103896664,0.9165190731113848,0.7241210127117563,0.9990358189988107
183,2.409385288742871,0.9907685183146249,0.9980527568952939,0.9140699037965613,0.7249471873037746,0.999025350846781
185,2.3890322176134924,0.9906922332462436,0.9980090067698093,0.9148236628383759,0.7231540762164635,0.9989930878950105
187,2.4227767272416103,0.9907074830001681,0.9980090288137846,0.913633314211232,0.7208518190152203,0.9989947834883083
189,2.427642123003002,0.9906740966484316,0.9980013527965248,0.913483111967018,0.7200349765547406,0.9989828737190743
191,2.4349421040803136,0.9907150591710694,0.9980191974018432,0.9132947731912564,0.7191215280179533,0.9989266542198537
193,3.59104055374415,0.990011325897132,0.9978978207709421,0.8756796268453608,0.71743432832484,0.9987102758678332
195,2.5056354897996647,0.9904769684495116,0.9979678932747069,0.9107361179760595,0.7152206349847124,0.9989505197571247
197,2.567073797743144,0.9903670630796969,0.9979467929845622,0.9086135323462606,0.7141872439627543,0.9989052051019524
199,2.610322317116669,0.9901963669211077,0.9978801072782049,0.9069815141695428,0.7131055960206134,0.998855808267925
201,3.801806568208606,0.9897507587773576,0.997842634421941,0.8706571896927654,0.71090567949396,0.9986299792570341
203,4.6614503090840875,0.9894215304478757,0.9978258870695472,0.8509128440856822,0.7070034513837836,0.9984404355159044
205,2.7563871458269813,0.9898677663357395,0.9977730502831619,0.9021837494503787,0.7022012683472375,0.9987670172525751
207,2.7705096293892604,0.9899034341635289,0.9977828587170899,0.9017693788954912,0.7024408873453744,0.9987329456224086
209,2.779564144547069,0.9899676519905674,0.9977730904958714,0.9015554208497362,0.7023914260321865,0.9986942059801643
211,2.8553162133301386,0.9898105022758296,0.9977421606401773,0.8991050413982392,0.7018632942598716,0.9986192184785264
213,4.162498161560715,0.9893345652564934,0.9977142271279071,0.8630696885294799,0.6996172813135936,0.9983340439678517
215,3.1331367189262953,0.9897499396995268,0.9977552102108418,0.8906269019489947,0.6977627689247488,0.9984466183105576
217,3.2000084123974117,0.9896420231623139,0.9977634633429966,0.8888117179188112,0.6970926102169454,0.9983844295551584
219,3.235690442577285,0.9896639858024543,0.9977741891759666,0.8879387876098036,0.6953553533399507,0.9983636304616591
221,3.19859138884021,0.9896911332228132,0.9977765734636193,0.888763200772969,0.6989479008879511,0.9983423117018518
