Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,518.8915786743164,0.7091109121515976,0.6875576690404375,20.9800373848,0.0753686754169073,0.9661594755979382
3,32.711727142333984,0.8766042949735634,0.9095549793695165,32.9837688588,0.25847274975172585,0.9979679267781529
5,29.311331431070965,0.8985539370306537,0.9189810976308536,33.4604481469,0.31686180333938946,0.9981119476980508
7,24.292282104492188,0.9192879318673185,0.9331931829208098,34.2761204496,0.36508646343712803,0.998383601920542
9,23.838717142740887,0.9272147042000517,0.9362587660666113,34.357974803,0.3998274656157495,0.9984069053333234
11,19.30480194091797,0.9387432266119479,0.9496754230788379,35.2741501056,0.4328995765878731,0.9987092977990759
13,17.774901072184246,0.9450838069903776,0.9537899240656443,35.6327316856,0.4618675444110096,0.9987972397346385
15,16.698076883951824,0.9504431875701077,0.9587079021149949,35.904139045,0.48233476035150663,0.9988963736299672
