Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,181.12444051106772,0.8345174704292657,0.8456114110509368,25.5510330391,0.19681242736621643,0.9864165728790416
3,2.3939666748046875,0.9903030256211022,0.9953294473777652,44.3396226035,0.7650507351633703,0.9998732097169712
5,1.6121139526367188,0.9941208392480023,0.9974647678773063,46.0568462411,0.8308337062098371,0.9999089811606438
7,1.3996162414550781,0.9952347606358066,0.9982980793737911,46.6707138738,0.8564854951911686,0.9999169081130238
9,0.91510009765625,0.9960089130595792,0.9988062861483518,48.5161175917,0.8640803221736303,0.9999550704194692
11,0.8323771158854166,0.9962080376430505,0.9988954033738635,48.92760229,0.8674208456663549,0.9999593718654141
13,0.9944254557291666,0.9959223444599304,0.9986474374331898,48.1550812784,0.8654307641094349,0.9999500298027222
15,0.920935312906901,0.9961494642269465,0.9987495296645494,48.4885123473,0.8656705558869845,0.99995314769096
